[2018-06-08 12:05:01] [info] Start Program:
Path:"C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe"
Arguments:
Working directory: "C:\Users\ad\Desktop\CS\OOP\Lab13\Lab13\"
Modules: Selected: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe Excluded: 
Sources: Selected: C:\Users\ad\Desktop\CS\OOP\Lab13\Lab13 Excluded: 
Log Level: Normal
Cover Children: 0
Aggregate by file: 1
Continue after C++ exception: 0
Optimized build support: 0
Export: Binary C:\Users\ad\AppData\Local\Temp\mavktxdl.oag 
Input coverage: 
Unified diff: 
Excluded line regular expressions: 

[2018-06-08 12:05:01] [info] Module: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe is selected because it matches selected pattern: C:\Users\ad\Desktop\CS\OOP\Lab13\x64\Debug\Lab13.exe
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\ws2_32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\ole32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Qt\5.10.1\msvc2017_64\bin\Qt5Guid.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Qt\5.10.1\msvc2017_64\bin\Qt5Widgetsd.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\msvcp140d.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\vcruntime140d.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:01] [info] Module: C:\Windows\System32\ucrtbased.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\mpr.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\netapi32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\userenv.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\version.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\winmm.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\uxtheme.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\dwmapi.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\winmmbase.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\netutils.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\srvcli.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\cryptbase.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\imm32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Qt\5.10.1\msvc2017_64\plugins\platforms\qwindowsd.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\oleaut32.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Qt\5.10.1\msvc2017_64\plugins\styles\qwindowsvistastyled.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\DWrite.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\msctf.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\clbcatq.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\DataExchange.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\d3d11.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\dcomp.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\dxgi.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\twinapi.appcore.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:02] [info] Module: C:\Windows\System32\rmclient.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:03] [info] Module: C:\Windows\System32\TextInputFramework.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:03] [info] Module: C:\Windows\System32\CoreUIComponents.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:03] [info] Module: C:\Windows\System32\CoreMessaging.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:03] [info] Module: C:\Windows\System32\ntmarta.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:03] [info] Module: C:\Windows\System32\WinTypes.dll is skipped because it matches no selected patterns
[2018-06-08 12:05:06] [info] ----------------------------------------------------
[2018-06-08 12:05:06] [info] Coverage binary generated in file: C:\Users\ad\AppData\Local\Temp\mavktxdl.oag
[2018-06-08 12:05:06] [info] ----------------------------------------------------
